ID,Name,Age,Gender,Country,Date of Joining,Salary,Department,Performance Score,Active
3061,Allison Shea,25,F,Oman,2021-10-31,80652.21,Engineering,3,True
3062,Erica Price,44,M,Cook Islands,2021-07-16,64080.58,Engineering,8,False
3063,Ronnie Russell,50,F,Peru,2015-03-03,52224.57,HR,4,False
3064,Jenna Brown,45,F,Micronesia,2019-03-22,78684.34,HR,2,False
3065,Todd Sparks,36,F,New Zealand,2019-08-30,105297.21,HR,1,False
3066,Erin Lloyd,54,M,Albania,2017-06-26,72767.08,Engineering,3,False
3067,Heather Beck,34,F,Brazil,2022-06-15,108654.03,Engineering,4,True
3068,Jose Johnson,51,F,New Zealand,2022-09-17,32700.85,Marketing,9,False
3069,George Hall,39,M,Dominican Republic,2021-09-17,77777.63,HR,5,True
3070,Teresa Mclaughlin,60,M,Bahamas,2021-10-11,113250.89,HR,8,True
3071,Christopher Leach,40,M,Bosnia and Herzegovina,2016-01-24,113740.59,Finance,5,True
3072,John Jones,24,F,Iran,2015-05-17,59047.67,HR,9,False
3073,Stephen Hernandez DVM,40,M,Gambia,2021-07-12,33164.35,Marketing,1,True
3074,Antonio Walker,21,M,Algeria,2015-07-01,78085.96,HR,5,False
3075,Mary Edwards,28,M,Sri Lanka,2017-11-19,64126.81,Engineering,6,True
3076,Matthew Werner,27,M,Uganda,2022-10-23,89696.32,Sales,6,True
3077,Anthony Wilson,57,M,Indonesia,2021-01-03,84191.22,Finance,7,False
3078,Christine Turner,64,M,Western Sahara,2023-01-24,53942.0,HR,7,True
3079,Christina Jensen,26,F,Slovenia,2019-03-25,33038.25,Finance,3,True
3080,Maxwell Hill,64,M,Djibouti,2017-04-28,103648.58,Sales,5,True
3081,Michael Nelson,18,M,Mongolia,2024-08-22,85547.18,Finance,9,True
3082,Cynthia Logan,50,M,Kuwait,2022-10-22,65555.61,Finance,1,True
3083,Justin Castillo,52,M,Saudi Arabia,2015-05-04,99653.86,Finance,1,True
3084,Jenna Gilbert,26,F,French Guiana,2023-01-07,83663.3,Sales,7,False
3085,Gerald Cruz,24,M,Pitcairn Islands,2024-09-09,55272.97,Finance,7,False
3086,Kevin Tapia,46,M,Bosnia and Herzegovina,2023-04-02,83756.83,HR,7,False
3087,Andrea Calhoun,29,M,Egypt,2015-10-18,107234.66,Marketing,4,False
3088,Lori Brown,35,M,Mali,2014-11-22,86781.12,Marketing,3,True
3089,Tamara Nelson,22,M,Tonga,2017-05-12,56235.17,Finance,7,True
3090,Daniel Hernandez,39,F,Norway,2021-06-30,71533.56,Sales,4,False
3091,Erik Floyd,62,M,Maldives,2015-05-24,83951.44,Engineering,7,False
3092,Joseph Hardin,62,F,Saint Kitts and Nevis,2024-03-15,110386.17,Marketing,2,False
3093,Caleb Richardson,56,M,Peru,2020-12-11,80905.32,Sales,4,False
3094,Crystal Singleton,50,M,Cocos (Keeling) Islands,2022-01-13,118476.77,HR,7,False
3095,Amy Garza,38,F,New Caledonia,2022-12-14,83159.08,Sales,3,False
3096,Tricia Martin,36,F,Canada,2014-12-07,30635.52,Finance,5,True
3097,David Payne,46,M,Barbados,2016-02-06,36342.68,Finance,5,False
3098,Tammy Ballard,64,F,Tokelau,2016-07-07,48752.26,Marketing,2,True
3099,Tina Parker,34,M,Lithuania,2015-02-23,75158.74,Marketing,1,False
3100,Marisa Richard,19,M,Jamaica,2023-07-25,91417.02,Finance,9,False
3101,Richard Wells,55,F,Bulgaria,2018-03-31,88279.41,HR,2,False
3102,Kevin Browning,33,M,Slovakia (Slovak Republic),2022-07-25,58819.43,Finance,6,True
3103,Mario Stephens,45,M,Japan,2024-10-01,95402.29,Marketing,4,False
3104,Victoria Payne,60,F,Comoros,2016-04-17,97137.12,Marketing,8,False
3105,Joshua Rodriguez,33,F,Pitcairn Islands,2016-06-27,78186.36,Sales,1,True
3106,Jeffery Taylor,46,M,Russian Federation,2024-06-23,32691.34,Marketing,4,False
3107,Philip Jensen,54,F,South Georgia and the South Sandwich Islands,2021-03-13,30768.66,Finance,9,True
3108,Edward Wallace DVM,43,F,Gibraltar,2019-03-09,55629.13,Marketing,2,True
3109,Sandra Lewis,58,F,Turkmenistan,2015-02-08,38010.52,Engineering,7,False
3110,Tony Mills,54,F,Zambia,2015-02-14,99842.22,Sales,9,False
3111,Scott Taylor,63,F,Reunion,2018-10-29,108825.04,Finance,6,True
3112,Dr. Scott Brady PhD,31,M,Sudan,2021-05-17,111995.64,HR,3,True
3113,Shaun Jones,43,F,Panama,2023-10-10,60948.54,Marketing,8,True
3114,Alexander Hunt,62,F,Luxembourg,2024-08-24,46254.87,Finance,4,False
3115,Alfred French,40,M,Oman,2014-10-19,78099.88,Sales,6,False
3116,Dennis Morales,20,M,Morocco,2019-09-23,100803.06,Finance,3,True
3117,James Thomas,41,M,Equatorial Guinea,2020-12-05,101816.1,Finance,5,True
3118,Jeffrey Thomas,42,F,India,2022-09-03,112477.74,Sales,1,True
3119,Christine Jones,36,M,Bangladesh,2021-08-25,33303.67,Engineering,9,False
3120,Kelly Cooke,42,M,Croatia,2021-07-10,114796.81,Marketing,6,True
3121,Christina Henderson,24,F,Norfolk Island,2019-01-13,83590.23,Sales,6,True
3122,Allen Short,18,M,Egypt,2023-01-03,102274.69,Sales,4,False
3123,Alicia Brown,49,F,Saint Barthelemy,2018-07-18,102232.88,Sales,4,False
3124,Michael Reyes,57,F,Puerto Rico,2017-05-19,102917.9,HR,3,True
3125,Austin Gomez,59,F,Kenya,2020-10-21,30373.86,Marketing,5,False
3126,Kristen Wells,19,M,Bahamas,2022-04-05,64440.55,Sales,6,False
3127,Dylan Olson,61,M,Reunion,2016-10-13,114617.5,Sales,6,True
3128,Tyler Whitehead,22,M,Netherlands,2016-04-08,60584.69,Finance,8,True
3129,Ethan Jackson,51,M,Lithuania,2017-04-19,103862.54,Finance,1,False
3130,Aaron Barr,42,M,American Samoa,2022-10-04,86623.62,Sales,4,True
3131,Joshua Silva,30,M,New Zealand,2016-11-16,42303.8,Finance,1,True
3132,Denise Rush,40,F,Bolivia,2024-10-16,73802.96,Marketing,3,True
3133,Andrew Olson,44,F,Vanuatu,2022-01-16,52049.0,HR,6,True
3134,Christine Hernandez,57,F,United Kingdom,2021-12-15,100245.0,Sales,6,False
3135,Alan Gardner,56,M,United Arab Emirates,2021-11-11,114378.88,Marketing,4,True
3136,Ricardo Davenport,52,F,Albania,2020-05-15,118805.83,Engineering,1,False
3137,Jesse Harris,64,M,Pitcairn Islands,2022-12-09,78297.82,Marketing,6,False
3138,Shelly Wilson,27,F,San Marino,2015-09-13,39753.18,Marketing,2,True
3139,Robert Hoffman,21,F,New Zealand,2016-08-18,70023.23,HR,1,False
3140,Sarah Sanders,23,M,Ethiopia,2016-05-29,55633.38,Finance,7,False
3141,Ashley Sanchez,49,M,Peru,2018-01-20,97375.16,Engineering,2,False
3142,Heather Rodriguez,28,M,Guatemala,2023-12-20,55231.34,HR,4,True
3143,Carol Cline,54,F,Madagascar,2024-07-30,109727.04,Engineering,6,False
3144,Madison Cooper,57,F,Liechtenstein,2018-10-04,53357.14,HR,4,False
3145,Stacey West,48,M,Iceland,2020-07-03,63015.98,Finance,3,True
3146,Sarah Jones,45,F,Bangladesh,2024-05-21,54986.32,Finance,7,True
3147,Dana Cervantes,18,F,Netherlands Antilles,2017-03-06,111524.57,Engineering,2,True
3148,Michaela Krueger,51,F,Mongolia,2016-01-22,96814.91,Marketing,2,True
3149,Anna Lara,59,F,Albania,2023-08-02,67215.67,Marketing,2,True
3150,Chelsea Evans,29,M,British Virgin Islands,2017-01-30,103035.35,Sales,2,True
3151,Jason Rose,30,M,Zimbabwe,2016-09-27,39706.31,Finance,7,True
3152,Adam Davis,44,F,Morocco,2018-09-16,58118.75,Marketing,7,True
3153,Kevin Green,57,F,Saint Barthelemy,2023-07-08,102709.09,Marketing,2,True
3154,Charles Jones,25,F,Portugal,2024-03-07,110094.79,Engineering,2,True
3155,Tanya Reynolds,21,F,Kazakhstan,2024-02-29,96913.61,Sales,9,False
3156,David Wood,42,M,Spain,2024-05-04,44098.27,Sales,7,False
3157,Mercedes Jimenez,48,M,Marshall Islands,2017-05-22,106822.99,Finance,9,True
3158,David Reilly,60,M,Australia,2015-02-23,63280.27,Sales,5,False
3159,Susan Lucero,24,M,Qatar,2021-05-09,54421.97,Engineering,5,False
3160,Katrina Herrera,51,F,French Southern Territories,2014-10-18,109050.94,Sales,4,True
3161,Alexandra Cruz,34,F,Netherlands,2020-11-18,50299.72,Finance,4,True
3162,Michael Gomez,42,F,Australia,2018-04-10,102844.74,HR,6,True
3163,Jeremy Logan,27,F,United States Minor Outlying Islands,2019-01-23,93633.49,Sales,3,True
3164,Kendra Ramirez,52,M,Guam,2020-04-07,81921.84,Finance,3,False
3165,Barbara Camacho,59,F,Czech Republic,2017-12-02,62233.83,Sales,9,True
3166,Austin Welch,35,M,Oman,2019-06-30,88500.11,Sales,9,False
3167,Melinda King,46,F,New Zealand,2023-05-03,39435.44,HR,3,False
3168,Scott Lynch,26,F,Madagascar,2017-10-17,67003.88,Finance,2,True
3169,Austin Campbell,61,F,Comoros,2016-08-01,72059.37,HR,3,True
3170,Raymond Kelly,38,F,Panama,2019-04-15,104581.24,Marketing,1,True
3171,Melinda Hammond,59,M,Israel,2016-06-13,82946.68,HR,6,False
3172,Samantha Murphy,38,F,Lebanon,2018-06-23,109033.37,Sales,2,True
3173,Craig Deleon,20,F,Greenland,2019-01-08,114393.79,HR,2,True
3174,Kathleen Valdez,40,M,Samoa,2022-09-02,40937.3,HR,9,True
3175,Megan Rodriguez,39,M,French Guiana,2020-01-15,82214.21,Marketing,9,False
3176,Rachael Torres,44,M,Reunion,2016-10-02,44629.39,HR,2,True
3177,Evelyn Nelson,43,M,Jersey,2015-09-09,91099.58,Finance,6,True
3178,Amy Castillo,50,M,Israel,2017-03-24,113556.97,Finance,8,True
3179,Devin Casey PhD,64,M,Netherlands,2023-07-07,60945.12,Marketing,9,True
3180,Jennifer Fernandez,55,M,Macao,2022-04-21,106240.76,Marketing,2,True
3181,Julie Hatfield,45,F,Guinea,2024-08-19,73749.93,Finance,5,False
3182,Phyllis Hebert,27,M,Turks and Caicos Islands,2019-01-17,111862.62,Engineering,8,True
3183,Kevin Hardy,18,F,Belize,2019-02-17,77053.01,Sales,2,True
3184,Kimberly Rush,20,F,Russian Federation,2017-04-21,32265.69,Engineering,6,False
3185,Mark Alvarez,30,F,Austria,2022-05-04,92287.54,Sales,7,False
3186,Stephen Green,42,F,Brazil,2018-07-26,52673.49,Marketing,1,False
3187,Sarah Cook DDS,58,F,Holy See (Vatican City State),2016-07-18,103336.3,Engineering,4,False
3188,Brenda Ali,40,M,Bangladesh,2021-12-21,54865.28,Finance,8,False
3189,Ashley Cobb,61,F,Mayotte,2021-12-22,86427.59,Sales,4,True
3190,Jennifer Mclaughlin,59,M,Sri Lanka,2018-05-25,46039.4,HR,1,False
3191,Rebekah Ramirez,25,M,Finland,2017-02-16,53969.24,Finance,8,True
3192,Amy Meadows,63,F,Korea,2019-01-25,65737.98,HR,8,True
3193,Andre Ortiz,37,F,Burundi,2019-09-17,34975.79,Marketing,8,False
3194,Thomas Harris,21,F,Fiji,2023-09-02,106223.8,Sales,4,False
3195,Joyce Kim,23,M,Botswana,2022-01-04,90216.56,Finance,1,True
3196,Philip Watson,34,F,Georgia,2020-06-02,105841.15,Marketing,7,False
3197,Joshua Gomez,42,M,Cuba,2015-01-06,64599.52,Engineering,7,True
3198,Lisa Harris,49,M,Liberia,2022-08-15,88228.85,Sales,9,False
3199,Jordan Hill II,50,F,Iran,2019-05-07,77426.95,Engineering,6,False
3200,Traci Armstrong,56,F,Tonga,2024-03-18,80395.63,Finance,9,False
3201,David Wilson,29,M,Tanzania,2024-01-26,108579.71,Engineering,1,True
3202,Dr. Jerry Mata DVM,20,M,Turkey,2015-12-16,93561.27,Marketing,8,True
3203,James Smith,52,F,San Marino,2022-02-26,79460.43,Engineering,1,True
3204,George Webb,57,M,Libyan Arab Jamahiriya,2021-01-10,100780.21,Marketing,8,False
3205,Jennifer Weiss,55,F,Bolivia,2016-01-18,75970.33,Finance,4,True
3206,Joshua Gordon,62,M,Namibia,2014-11-19,102321.41,Sales,1,True
3207,Brandi Payne,35,M,Switzerland,2019-05-06,78082.55,HR,9,True
3208,Jared Russo,45,M,French Polynesia,2021-08-16,98856.94,Sales,4,True
3209,John Stewart,40,M,Nigeria,2017-09-21,77918.31,Marketing,1,False
3210,Aaron Velez,63,M,Solomon Islands,2017-03-21,58078.67,Finance,6,False
3211,Tammie Estrada,64,F,Syrian Arab Republic,2017-03-20,103085.19,Finance,8,True
3212,Sara Boyd,42,M,Portugal,2024-03-01,102721.65,Finance,4,False
3213,Jennifer Powers,49,M,Namibia,2021-12-10,101198.72,Finance,3,False
3214,Michele Hernandez,23,F,Lithuania,2022-07-16,62658.2,Finance,9,False
3215,William Hoover,50,M,Pakistan,2020-03-31,37950.63,Finance,7,True
3216,Allen Warner,46,M,Oman,2018-03-14,119015.52,Sales,7,True
3217,Elizabeth Owens,43,F,Singapore,2019-12-19,30101.5,HR,9,False
3218,Christopher Johnson Jr.,53,M,Antigua and Barbuda,2020-05-07,70529.47,Finance,4,False
3219,Aaron Gill,26,M,Israel,2022-09-06,81836.7,HR,1,True
3220,Erika Phillips,41,M,British Indian Ocean Territory (Chagos Archipelago),2022-01-17,76380.34,HR,3,True
3221,Janice Garrett,48,M,United States of America,2023-03-01,54079.56,Sales,5,True
3222,Sandra Gay,19,M,Saint Martin,2017-09-11,119798.44,Sales,4,True
3223,Isaiah Herrera,31,F,Cook Islands,2019-04-22,108794.13,Engineering,9,True
3224,Matthew Vance,62,F,Swaziland,2024-01-12,43757.92,HR,7,True
3225,Mariah Evans,37,M,Pitcairn Islands,2017-02-24,100271.36,Finance,8,True
3226,Kurt Bradford,53,M,Kenya,2014-11-14,77923.2,Finance,8,True
3227,Kelly Brown,40,M,Namibia,2019-08-11,103470.99,HR,5,True
3228,Keith Martinez,57,M,Moldova,2015-02-25,58277.21,Marketing,5,True
3229,Tyler Clark,62,M,Comoros,2021-11-17,80393.74,Finance,2,True
3230,Rebecca Wiggins,52,F,United States Virgin Islands,2015-08-13,77975.95,Sales,9,False
3231,Deborah Navarro,27,M,Singapore,2021-05-27,112697.8,Sales,3,False
3232,Kristin Hughes,38,M,Tuvalu,2017-05-12,74276.61,HR,1,True
3233,James Jenkins,41,M,Guatemala,2015-07-25,85855.38,Sales,8,False
3234,Hannah Moon,28,F,Montenegro,2016-06-09,102342.9,HR,8,False
3235,Rhonda Krueger,43,M,Jordan,2016-12-06,57656.92,Engineering,1,True
3236,Bruce Sanchez,44,F,Slovakia (Slovak Republic),2022-03-19,101933.82,Finance,2,True
3237,Carlos Brooks,18,M,Moldova,2023-11-21,43938.4,Engineering,9,True
3238,William Ford,21,M,Jordan,2019-12-24,65920.09,Finance,6,True
3239,William Goodwin,43,M,Pitcairn Islands,2021-07-29,46696.44,Marketing,8,False
3240,Heather Howell,49,M,Zimbabwe,2021-11-30,87414.0,Finance,7,False
3241,Anita Johnson,55,F,Comoros,2017-04-16,100902.77,Marketing,7,False
3242,Joe Lewis,37,M,China,2017-05-04,84356.72,Engineering,5,False
3243,Susan Scott,63,M,Germany,2023-06-03,101470.5,Marketing,9,True
3244,Joseph Riley III,63,F,Fiji,2016-12-13,97561.59,HR,7,False
3245,Dominique Ramirez,41,F,Japan,2021-03-16,95665.72,HR,6,True
3246,Brian Dixon,44,M,Zambia,2016-12-28,48008.03,Marketing,5,False
3247,Nicole Smith,55,F,Uruguay,2018-06-22,46217.09,Engineering,4,False
3248,David Gay,19,M,Honduras,2015-04-19,30418.41,Finance,9,True
3249,Ms. Melissa Casey,20,F,Thailand,2023-10-28,96186.72,Sales,1,True
3250,Margaret Stephens,19,F,Guyana,2017-07-21,70460.45,Marketing,1,False
3251,Amanda Martin,29,F,Lesotho,2020-04-05,83842.85,Engineering,6,False
3252,Rebecca Boyd,30,M,Equatorial Guinea,2019-03-18,101342.98,Engineering,2,False
3253,Ryan Moss,52,F,Bulgaria,2017-01-08,72746.47,Sales,2,True
3254,Julie Marquez,56,M,Finland,2015-08-08,30991.51,Finance,9,True
3255,Evan Ortiz,51,F,Germany,2020-01-12,83166.55,HR,7,False
3256,Aaron Serrano,53,F,Netherlands Antilles,2021-12-12,59432.88,Sales,4,True
3257,Daniel Hickman,24,M,Dominican Republic,2020-08-25,88284.18,Finance,7,True
3258,Scott Carpenter,47,M,Egypt,2018-05-14,99059.13,Marketing,5,True
3259,Zachary Richardson,38,F,Luxembourg,2021-03-14,57012.92,Finance,4,True
3260,Kristen Ortiz,22,F,Hungary,2022-10-09,32705.61,Finance,9,True
3261,David Gibson,53,F,Guernsey,2021-01-09,89559.53,Engineering,2,True
3262,Mrs. Kimberly Hatfield,38,M,Thailand,2019-09-18,74325.59,Marketing,5,True
3263,Marilyn Robertson,61,M,Marshall Islands,2020-12-10,47049.22,Marketing,8,True
3264,Matthew Rodriguez,37,F,Brazil,2024-06-24,117569.1,Sales,5,False
3265,Keith Payne,46,M,Iceland,2021-01-17,105613.37,Engineering,7,False
3266,Philip Smith,60,F,Samoa,2023-09-17,37224.78,Engineering,3,False
3267,Robert Velez,20,M,Tuvalu,2014-10-26,95100.71,Sales,7,False
3268,Benjamin Forbes,58,F,Sweden,2024-06-17,111404.63,Finance,8,True
3269,Margaret Roberts,55,M,Azerbaijan,2022-06-14,76942.91,Sales,4,False
3270,Fernando Turner,59,M,Georgia,2014-10-31,102912.58,HR,4,False
3271,Daniel Green,58,F,Oman,2017-08-18,79168.32,Engineering,8,False
3272,Mr. Christopher Nichols,30,M,Guatemala,2016-11-24,52365.66,Marketing,5,True
3273,Fernando Nichols,64,F,Uzbekistan,2014-12-22,86129.26,Sales,3,True
3274,Rebecca Reyes,27,F,Northern Mariana Islands,2019-06-13,115902.89,HR,2,True
3275,Martin Moon,22,F,Kyrgyz Republic,2022-08-01,61741.78,Finance,5,True
3276,Michael Gomez,41,M,British Indian Ocean Territory (Chagos Archipelago),2018-04-19,86047.41,Marketing,1,False
3277,Barbara Suarez,21,F,Cook Islands,2014-12-04,85905.44,Finance,1,False
3278,James Marshall,30,M,Libyan Arab Jamahiriya,2018-07-09,102688.69,Sales,2,False
3279,David Rice,36,F,Grenada,2018-11-01,97313.09,Engineering,3,True
3280,Audrey Santiago,51,M,Myanmar,2018-10-18,76650.43,Marketing,4,False
3281,Kayla Gutierrez,49,M,Russian Federation,2024-05-30,116978.5,Sales,5,False
3282,Tina Nguyen,43,F,Gambia,2016-10-29,49901.88,Marketing,3,True
3283,Joseph Watson,50,M,Mayotte,2021-02-02,100878.71,HR,7,False
3284,Michael Thomas,54,M,Iraq,2022-11-15,68629.14,HR,6,True
3285,Dawn Garcia,25,F,Germany,2024-06-15,87128.51,Engineering,2,True
3286,Tara Mitchell,48,F,Bosnia and Herzegovina,2022-02-11,83522.94,Finance,7,True
3287,Sara Harris,53,F,Macedonia,2022-04-06,52681.51,Finance,8,False
3288,Curtis Mccarthy,47,M,Honduras,2018-06-10,111771.5,Engineering,7,False
3289,Carla Richardson,44,F,Vietnam,2015-12-09,40050.06,Sales,9,True
3290,Dan Morrison,52,M,Aruba,2023-03-26,63011.86,Finance,7,False
3291,Tyler Allen,49,M,Congo,2021-04-22,57205.56,Marketing,6,True
3292,Jacqueline Ruiz,25,F,Zambia,2017-06-25,73855.29,Finance,3,True
3293,Robert Weber,31,M,Somalia,2021-05-22,95873.13,Engineering,4,True
3294,Courtney Perez,31,F,Greece,2021-02-06,91497.08,Sales,8,False
3295,Ashley Stevens,44,M,Faroe Islands,2017-12-22,85062.04,HR,4,True
3296,Patricia Thomas,23,M,Cayman Islands,2023-03-13,86887.73,Sales,2,True
3297,Donald Smith,61,F,Liberia,2017-08-08,78925.72,Finance,1,True
3298,Tammy Brennan,48,M,Philippines,2024-09-04,39782.66,Finance,6,True
3299,James Garcia,45,M,Jersey,2023-09-09,33813.25,Marketing,2,True
3300,Jamie Guerrero,38,M,United Kingdom,2015-02-22,39432.31,Engineering,6,False
3301,Matthew Clark,41,M,Niger,2019-08-06,43825.12,Engineering,7,True
3302,Dr. Matthew Wiggins,36,F,Zambia,2018-07-24,119609.61,Engineering,1,False
3303,Pamela Beltran,34,F,Greece,2014-12-09,86784.69,HR,1,False
3304,William Wagner,22,F,Seychelles,2020-08-09,112503.88,Sales,7,False
3305,Robert Klein,62,F,Moldova,2022-02-09,49903.91,Finance,2,False
3306,Angela Bruce,54,M,Heard Island and McDonald Islands,2024-06-24,80886.96,Engineering,2,True
3307,Megan Sosa,33,F,Senegal,2018-04-09,109424.26,Sales,8,True
3308,Dr. Donald Mason,40,F,British Virgin Islands,2021-06-30,32489.33,Engineering,5,True
3309,Ronald Russo,63,F,Guadeloupe,2020-04-11,84912.58,Finance,9,False
3310,Alyssa Cain,33,M,San Marino,2016-08-17,108856.89,Sales,4,True
3311,Michael Tran,18,M,France,2017-09-06,69325.15,Marketing,6,True
3312,Robert Ashley,50,M,Lebanon,2024-05-20,65577.56,Finance,1,False
3313,Ellen Nichols,48,M,Netherlands,2016-01-04,95550.48,Sales,5,True
3314,Mary Shelton MD,24,M,Spain,2015-11-30,56580.69,Finance,2,True
3315,Charles Thomas,46,F,Armenia,2024-01-21,63524.63,Sales,9,False
3316,Tabitha Salazar,27,F,Guatemala,2018-12-26,66265.51,Marketing,1,False
3317,Kristin Torres,56,M,Liberia,2022-06-13,98450.16,Sales,2,True
3318,Charles Williams,41,M,Wallis and Futuna,2022-10-02,38950.84,Marketing,3,False
3319,Tracy Holmes,21,M,Marshall Islands,2017-03-01,106753.45,Sales,2,False
3320,Matthew Lang,31,M,Thailand,2018-12-05,109775.78,Finance,5,False
3321,Monica Flynn,42,F,Nepal,2021-01-18,83910.15,Finance,8,True
3322,Christina Santiago,36,M,Cook Islands,2019-11-28,38872.42,Sales,6,False
3323,Charles Reid,18,M,San Marino,2022-12-16,70246.65,Finance,8,False
3324,Michael Taylor,33,M,Yemen,2022-01-24,116601.17,Sales,7,True
3325,Jennifer Saunders,25,F,Yemen,2016-06-24,42813.94,Marketing,1,False
3326,Benjamin Knight,59,F,Albania,2020-12-11,111419.47,HR,6,False
3327,Kyle Huffman,21,M,Norfolk Island,2021-01-31,115258.87,Finance,2,True
3328,John Bell,31,M,Egypt,2018-06-30,60888.21,Engineering,6,True
3329,Lisa Barker,52,M,Bangladesh,2019-08-20,91181.12,HR,9,False
3330,Michael West,60,F,Rwanda,2021-12-15,109866.53,Marketing,9,True
3331,Jennifer Miller,60,F,Nicaragua,2024-05-11,77904.69,Engineering,6,False
3332,Alexis Christensen,58,F,Swaziland,2020-12-17,100216.42,Marketing,9,True
3333,Kelly Robinson,30,F,South Georgia and the South Sandwich Islands,2018-02-22,59289.22,Finance,4,True
3334,Diane Lynch,61,M,Bhutan,2021-08-09,96573.04,Sales,1,True
3335,Eric Trujillo,49,F,Lesotho,2017-08-08,116194.59,Marketing,2,False
3336,Alan Beard,21,F,Kazakhstan,2017-06-07,56106.68,Marketing,1,True
3337,Ruben Elliott,43,M,Somalia,2017-10-06,45751.7,Sales,5,False
3338,Scott Allen,56,F,Bahamas,2023-09-25,114773.01,Engineering,6,False
3339,Cynthia Clark,37,M,Niger,2020-12-06,83290.28,HR,9,False
3340,James Copeland,52,F,Grenada,2016-05-03,52961.93,Engineering,8,False
3341,Michael Murray,45,M,Aruba,2021-12-06,80479.29,Engineering,1,True
3342,Amber Mills MD,25,M,Montenegro,2015-05-01,116054.09,Engineering,6,True
3343,Bridget Gonzalez,21,F,Indonesia,2021-02-20,105703.35,Marketing,2,False
3344,Ebony Ayala,32,F,Eritrea,2022-01-10,42290.22,Sales,5,False
3345,Lonnie Mcmahon,29,M,Zimbabwe,2020-12-10,58331.59,HR,8,False
3346,Meghan Trevino,57,M,Malta,2024-06-24,76772.7,Finance,4,False
3347,Philip Thompson,39,F,French Guiana,2018-06-16,96597.46,Finance,5,False
3348,Cassandra Bean,59,M,Taiwan,2016-09-16,90794.25,Sales,8,True
3349,Larry Smith,43,F,Zimbabwe,2023-12-09,62517.5,Sales,6,True
3350,Jordan Nielsen,46,M,Kiribati,2020-06-20,67152.09,Marketing,5,True
3351,David Watson,48,M,Greece,2015-11-11,92067.09,Marketing,4,False
3352,Matthew Mills,53,M,Tunisia,2016-05-12,100990.27,Sales,2,False
3353,Sharon Campbell,19,M,Nicaragua,2014-11-07,34966.16,Marketing,3,True
3354,Stephanie Powell,29,F,Turkmenistan,2019-09-29,108487.46,Engineering,1,True
3355,Terri Bernard,41,F,Thailand,2017-06-24,45256.73,Marketing,6,True
3356,Jamie Boyle,59,F,Marshall Islands,2019-05-29,81575.55,Engineering,3,True
3357,Jacqueline Taylor,19,M,Cyprus,2024-04-03,49659.05,Marketing,7,True
3358,Steve Rose,18,F,Korea,2022-03-02,49185.06,Marketing,5,True
3359,Kathy Boyd,52,M,Cayman Islands,2024-06-12,84842.38,Engineering,9,False
3360,Cameron Rose,29,F,Uruguay,2022-07-01,38678.78,HR,3,False
3361,Mark Ramirez,33,M,Honduras,2022-05-15,57771.93,Marketing,7,False
3362,Michelle Scott,39,M,Slovakia (Slovak Republic),2015-05-05,54855.81,HR,2,True
3363,Susan Turner,40,M,Indonesia,2017-06-20,77098.02,Engineering,3,True
3364,Jennifer Pope,52,M,United States of America,2021-05-31,30221.06,Sales,1,False
3365,Mrs. Cindy Jones,64,F,Eritrea,2023-05-14,36243.84,Marketing,5,True
3366,Brittney Harvey,27,F,Latvia,2023-01-04,59654.56,Finance,3,False
3367,Gina Freeman,45,F,Estonia,2020-08-08,57501.91,Sales,9,False
3368,Samantha Peck,25,F,Andorra,2024-05-21,89332.85,Sales,9,False
3369,James Freeman,47,F,Cook Islands,2024-04-24,35983.72,Sales,6,False
3370,Reginald Bailey,41,F,Japan,2018-11-29,74729.09,Engineering,3,True
3371,Jaime Sandoval,43,M,Comoros,2024-01-10,100790.51,Sales,2,False
3372,Jennifer Fletcher,38,M,Burkina Faso,2015-09-11,82412.32,Finance,4,True
3373,Kathleen Hernandez,19,M,Peru,2021-08-01,33424.57,HR,9,False
3374,Timothy Taylor,39,M,Thailand,2019-05-06,35663.48,Marketing,6,True
3375,Thomas Mcintosh,36,M,Christmas Island,2023-08-12,109347.14,Finance,1,True
3376,David Wilson,52,M,Cuba,2019-01-10,59352.42,Engineering,8,True
3377,Jessica Kelly,61,F,Algeria,2021-06-27,39652.42,Sales,3,False
3378,Victor Spencer,31,F,Saint Martin,2024-07-11,73626.92,HR,2,False
3379,Daniel Johnson,64,M,Armenia,2021-11-01,77003.98,Marketing,3,True
3380,Joshua George,34,F,Bangladesh,2016-06-13,80297.97,Finance,2,False
3381,Joseph Robinson,18,M,Trinidad and Tobago,2019-12-19,107803.46,HR,9,True
3382,Kathryn Cunningham,43,M,Georgia,2023-10-13,109217.92,Finance,1,False
3383,Dana Williams,62,M,Cambodia,2020-12-23,99205.68,Finance,8,False
3384,Anthony Nolan,18,M,Cocos (Keeling) Islands,2021-08-04,90832.62,Marketing,7,True
3385,Courtney Carey,34,F,Cuba,2022-07-14,90598.02,HR,6,False
3386,Tracy Marsh,39,M,Azerbaijan,2017-01-11,64843.28,Engineering,6,True
3387,Alexis Lambert,44,M,Guatemala,2024-06-26,80068.99,Sales,6,True
3388,Steven Perry,34,M,Luxembourg,2014-11-05,63141.64,Marketing,9,True
3389,Eric King,62,F,Syrian Arab Republic,2016-11-21,39410.29,Sales,2,False
3390,Tina Moyer,51,F,Korea,2022-01-27,69818.11,Sales,4,False
3391,Brandon Gomez,64,M,Mexico,2023-09-14,112602.49,Sales,5,True
